SMP Negeri 1 Sleman,-7.6837667,110.339
SMP NEGERI 2 KASIHAN,-7.8257,110.3271
SMP NEGERI 2 PLAYEN,-7.9127367,110.5565
SMP NEGERI 2 SEDAYU,-7.8452,110.237
SMP NEGERI 1 KASIHAN,-7.8004,110.3393
SMP NEGERI 2 KARANGMOJO,-7.9432217,110.6402217
SMP NEGERI 1 PLERET,-7.8689,110.3908
SMP NEGERI 2 WONOSARI,-7.9671,110.5986
SMP NEGERI 3 SEWON,-7.8501,110.3451
SMP NEGERI 2 BERBAH,-7.8048,110.4446
SMP NEGERI 3 MLATI,-7.7452,110.3373
SMP NEGERI 2 SAPTOSARI,-8.0819,110.4858
SMP NEGERI 4 YOGYAKARTA,-7.7916,110.3762
SMP NEGERI 1 SAMIGALUH,-7.6724,110.1285
SMP NEGERI 1 PALIYAN,-8.0023733,110.509125
SMP NEGERI 3 WONOSARI,-8.0134,110.5875
SMP NEGERI 2 BAMBANGLIPURO,-7.9565,110.3048
SMP NEGERI 1 PIYUNGAN,-7.8373,110.472
SMP NEGERI 15 YOGYAKARTA,-7.7915,110.3715
SMP NEGERI 3 PANGGANG,-7.9993,110.462
SMP NEGERI 4 TEMPEL,-7.6369867,110.3518017
SMP NEGERI 2 GEDANGSARI,-7.8035,110.6329
SMP NEGERI 4 PONJONG,-7.9284,110.7143
SMP NEGERI 1 BAMBANGLIPURO,-7.9445,110.3233
SMP NEGERI 3 KOKAP,-7.8289,110.0703
SMP NEGERI 1 NGEMPLAK,-7.6993,110.4463
SMP NEGERI 3 GIRISUBO,-8.1866,110.8313
SMP NEGERI 1 PLAYEN,-7.9451533,110.5527233
SMP NEGERI 1 WATES,-7.8563367,110.1578433
SMP NEGERI 1 PANDAK,-7.9064,110.3145
SMP NEGERI 1 SENTOLO,-7.8383,110.22
SMP NEGERI 2 SEMIN,-7.8628,110.7224
SMP NEGERI 2 SEMANU,-8.0584,110.6532
SMP NEGERI 3 PLERET,-7.8833,110.4141
SMP NEGERI 2 TANJUNGSARI,-8.0949,110.6115
SMP NEGERI 2 GIRISUBO,-8.1526,110.7125
SMP NEGERI 4 GIRIMULYO,-7.7764,110.1136
SMP NEGERI 1 GEDANGSARI,-7.8834,110.5799
SMP NEGERI 4 NGAGLIK,-7.7157,110.3875
SMP NEGERI 3 PAJANGAN,-7.8681,110.2781
SMP NEGERI 3 BANTUL,-7.9051,110.3312
SMP NEGERI 1 NANGGULAN,-7.7617,110.2103
SMP NEGERI 3 GIRIMULYO,-7.7533,110.1363
SMP NEGERI 1 DEPOK,-7.7526,110.3952
SMP NEGERI 10 YOGYAKARTA,-7.8249,110.3757
SMP NEGERI 1 SANDEN,-7.967133,110.265794
SMP NEGERI 8 YOGYAKARTA,-7.781928,110.373765
SMP NEGERI 2 PLERET,-7.8669,110.4099
SMP NEGERI 1 JETIS,-7.8901,110.3761
SMP NEGERI 3 YOGYAKARTA,-7.7957,110.3646
SMP NEGERI 1 LENDAH,-7.924,110.2044
SMP NEGERI 11 YOGYAKARTA,-7.7927,110.3534
SMP NEGERI 1 GALUR,-7.9403,110.2362
SMP NEGERI 2 SRANDAKAN,-7.9516,110.2478
SMP NEGERI 2 PANGGANG,-8.0334,110.4658
SMP NEGERI 4 DEPOK,-7.7736,110.4119
SMP NEGERI 2 BANTUL,-7.875142,110.336294
